date,state,district,age_0_5,age_5_17,age_18_greater,bio_age_5_17,bio_age_17_,demo_age_5_17,demo_age_17_,total_enrolment,total_biometric_updates,biometric_to_enrolment_ratio,elderly_update_pressure,child_update_pressure,service_stress_risk
2025-01-04,assam,baksa,408,483,187,2598.0,474.0,,,1078,3072.0,2.8470806302131604,,,0.0012154026169533235
2025-01-04,assam,barpeta,138,54,23,9902.0,2067.0,,,215,11969.0,55.41203703703704,,,0.02365508518123246
2025-01-04,assam,biswanath,104,114,32,1463.0,323.0,,,250,1786.0,7.115537848605578,,,0.0030375828595968313
2025-01-04,assam,bongaigaon,221,87,61,4512.0,1135.0,,,369,5647.0,15.262162162162163,,,0.006515330698895266
2025-01-04,assam,cachar,988,461,299,9483.0,2866.0,,,1748,12349.0,7.0606060606060606,,,0.0030141327900132593
2025-01-04,assam,charaideo,91,50,164,385.0,166.0,,,305,551.0,1.8006535947712419,,,0.0007686888344807862
2025-01-04,assam,chirang,189,199,179,2597.0,633.0,,,567,3230.0,5.686619718309859,,,0.0024275857922347313
2025-01-04,assam,darrang,654,340,270,3709.0,1180.0,,,1264,4889.0,3.8648221343873517,,,0.0016498707083830743
2025-01-04,assam,dhemaji,179,176,52,1532.0,642.0,,,407,2174.0,5.328431372549019,,,0.002274677213468098
2025-01-04,assam,dhubri,998,654,80,9246.0,1767.0,,,1732,11013.0,6.354875937680323,,,0.0027128605923928805
2025-01-04,assam,dibrugarh,179,149,186,2860.0,2275.0,,,514,5135.0,9.970873786407767,,,0.0042565096206650015
2025-01-04,assam,goalpara,587,294,283,2740.0,746.0,,,1164,3486.0,2.992274678111588,,,0.0012773851347328015
2025-01-04,assam,golaghat,568,501,144,1210.0,763.0,,,1213,1973.0,1.6252059308072488,,,0.000693791219127961
2025-01-04,assam,hailakandi,242,143,78,1165.0,482.0,,,463,1647.0,3.5495689655172415,,,0.001515290913774703
2025-01-04,assam,hojai,763,253,100,2871.0,1358.0,,,1116,4229.0,3.786034019695613,,,0.001616236507874328
2025-01-04,assam,jorhat,210,156,154,1052.0,436.0,,,520,1488.0,2.856046065259117,,,0.0012192299104628033
2025-01-04,assam,kamrup,741,404,179,8005.0,1226.0,,,1324,9231.0,6.966792452830188,,,0.002974084291496345
2025-01-04,assam,kamrup metro,276,396,213,2881.0,1492.0,,,885,4373.0,4.935665914221219,,,0.002107007860926881
